"country","localities","which","west","south","east","north"
"Greece","Lake Volvi","green",22.4988900000001,39.6669400000001,24.4988900000001,41.6669400000001
"Greece","Lake Volvi (2001)","red",NA,NA,NA,NA
"Greece","Lake Volvi (2001)","green",22.4988900000001,39.6669400000001,24.4988900000001,41.6669400000001
"Romania","Lake Razelm","red",NA,NA,NA,NA
"Romania","Lake Razelm","green",27.95,43.9,29.95,45.9
"India","Godavari estuary","red",NA,NA,NA,NA
"India","Godavari estuary","green",82.0506700000001,16.7673300000001,82.3826700000001,17.0993300000001
"Australia","Albany, Western Australia","red",117.55806,-35.19583,118.05806,-34.69583
"Australia","Albany, Western Australia","green",117.68855,-35.21894,118.07855,-34.82894
"Japan","central Honshu","red",NA,NA,NA,NA
"Japan","central Honshu","green",134.838937256,34.860748453,135.098937256,35.120748453
"Peru","Ilo, Callao, Chimbote, Paita","red",NA,NA,NA,NA
"Peru","Ilo, Callao, Chimbote, Paita","green",-77.2585898508325,-12.1810630563371,-77.0065898508325,-11.9290630563371
"Australia","northern New South Wales","red",151.25009,-30.84537,151.75009,-30.34537
"Australia","northern New South Wales","green",151.429339243493,-33.341821534034,151.681339243493,-33.089821534034
"Chile","Off Chile","red",NA,NA,NA,NA
"Chile","Off Chile","green",-91.5159999999999,-50.5159999999999,-50.4839999999999,-9.48399999999994
"USA","Point Conception to San Diego, California","red",NA,NA,NA,NA
"USA","Point Conception to San Diego, California","green",-117.1522665,32.4750285,-116.9002665,32.7270285
"USA","San Pedro, California","red",-122.72053,37.32383,-122.22053,37.82383
"USA","San Pedro, California","green",-118.41961,33.60287,-118.14961,33.87287
"Australia","South Australia","red",129.001336993,-38.06260299,141.002955612,-25.996146488
"Australia","South Australia","green",129.772177991,-36.12341186,141.806177991,-24.08941186
"","southern Africa","red",11.737502061,-46.978931,38.000465,-16.963488173
"","southern Africa","green",30.7397700000001,-29.94233,30.9997700000001,-29.68233
"Australia","southern New South Wales","red",150.16667,-34.71667,150.66667,-34.21667
"Australia","southern New South Wales","green",151.428307190596,-33.3427373985152,151.680307190596,-33.0907373985152
"Australia","Victoria","red",140.961681996,-39.159189528,149.976290995,-33.980425587
"Australia","Victoria","green",140.731544169,-40.4162289799999,147.867544169,-33.2802289799999
"Australia","Western Australia (south coasts)","red",NA,NA,NA,NA
"Australia","Western Australia (south coasts)","green",117.777858104511,-35.0647832179538,118.029858104511,-34.8127832179538
"USA","Black Warrior R., Black Warrior R. Tuscaloosa Co","red",NA,NA,NA,NA
"USA","Black Warrior R., Black Warrior R. Tuscaloosa Co","green",-87.7471526774845,33.0887021141446,-87.4951526774844,33.3407021141446
"Brazil","Lagoa dos Patos","red",-51.56513,-31.33096,-51.06513,-30.83096
"Brazil","Lagoa dos Patos","green",-44.7429,-17.14687,-44.4069,-16.81087
"Portugal","Aveiro","red",-8.78402888423785,40.2788092038247,-8.08917217928997,41.0801545592515
"Portugal","Aveiro","green",-8.88890999999994,40.4062300000001,-8.41890999999994,40.8762300000001
"","Black Sea","red",30.8215904240002,39.9119606020002,42.5943298340003,42.1017990110001
"","Black Sea","green",15.0000000000001,23.0000000000001,55.0000000000001,63.0000000000001
"Spain","East Cantabrian area","red",NA,NA,NA,NA
"Spain","East Cantabrian area","green",-3.70522771979536,43.3757996251549,-3.45322771979536,43.6277996251549
"UK","English Channel","red",-5.71866655349731,48.4980850219727,1.92794442176819,51.1687240600586
"UK","English Channel","green",-15.9999999999999,35.0000000000001,14.0000000000001,65.0000000000001
"Spain","Galician coast","red",NA,NA,NA,NA
"Spain","Galician coast","green",-9.04878090599996,41.6184485770001,-6.77278090599996,43.8944485770001
"Portugal","Lisboa","red",-9.50052660716588,38.409074423375,-8.49097212562681,39.0647183791658
"Portugal","Lisboa","green",-9.35547999999993,38.52039,-8.94347999999993,38.93239
"Portugal","Matosinhos","red",-8.85415780721838,41.0464900338636,-8.47044786989778,41.3981147019914
"Portugal","Matosinhos","green",-8.86089999999993,41.0026900000001,-8.49289999999993,41.3706900000001
"Spain","North-Atlantic Spanish Coasts, 41°55 N - 1°58 W","red",NA,NA,NA,NA
"Spain","North-Atlantic Spanish Coasts, 41°55 N - 1°58 W","green",-13.3060631049999,30.56794966,6.01393689500006,49.88794966
"Morocco","Northwest Africa (27°-29° N), 1976-82","red",NA,NA,NA,NA
"Morocco","Northwest Africa (27°-29° N), 1976-82","green",27.9969890000001,-25.865810239,28.3069890000001,-25.555810239
"","Off African coasts of Mediterranean","red",NA,NA,NA,NA
"","Off African coasts of Mediterranean","green",28.0082100000001,-26.2978899999999,28.2682100000001,-26.0378899999999
"","Off European coasts of Mediterranean","red",NA,NA,NA,NA
"","Off European coasts of Mediterranean","green",-80.24142,26.6547400000001,-79.97142,26.9247400000001
"Portugal","Olhao","red",-8.01476550756829,36.873080691072,-7.5983609820768,37.2561620139758
"Portugal","Olhao","green",-8.02957999999993,36.8374300000001,-7.62757999999993,37.2394300000001
"Portugal","Peniche & Olhao/Portimao","red",NA,NA,NA,NA
"Portugal","Peniche & Olhao/Portimao","green",-8.75047999999996,36.9219500000001,-8.31447999999996,37.3579500000001
"","Spanish and Portueguese coast","red",NA,NA,NA,NA
"","Spanish and Portueguese coast","green",-0.315839999999928,51.39833,-0.0558399999999278,51.65833
"UK","SW England","red",-0.3483,51.26386,0.1517,51.76386
"UK","SW England","green",-0.123508652954433,51.4413955745175,0.128491347045567,51.6933955745175
"Spain","W Cantabrian area","red",NA,NA,NA,NA
"Spain","W Cantabrian area","green",-3.70522771979536,43.3757996251549,-3.45322771979536,43.6277996251549
"","Caspian Sea (Volga)","red",NA,NA,NA,NA
"","Caspian Sea (Volga)","green",-97.0344668196957,44.1927635363943,-96.7824668196957,44.4447635363943
"Russia","Don River (1966-1971)","red",NA,NA,NA,NA
"Russia","Don River (1966-1971)","green",35.28857,43.0616900000001,43.28857,51.0616900000001
"","Volga, Vyatka, Kama, Oka and Ural rivers and their tributaries","red",NA,NA,NA,NA
"","Volga, Vyatka, Kama, Oka and Ural rivers and their tributaries","green",6.26053267700003,4.18394783500005,7.56653267700004,5.48994783500005
"","Black Sea and Sea of Azov","red",NA,NA,NA,NA
"","Black Sea and Sea of Azov","green",16.0000000000001,26.0000000000001,56.0000000000001,66.0000000000001
"Romania","Danube Delta (1987)","red",NA,NA,NA,NA
"Romania","Danube Delta (1987)","green",29.2866700000001,45.3700000000001,29.5466700000001,45.6300000000001
"Romania","Danube Delta (1989)","red",NA,NA,NA,NA
"Romania","Danube Delta (1989)","green",29.2866700000001,45.3700000000001,29.5466700000001,45.6300000000001
"","not specified","red",NA,NA,NA,NA
"","not specified","green",-73.76919,4.01062000000007,-73.50919,4.27062000000007
"China","Yangtze River","red",120.79664,31.51986,121.29664,32.01986
"China","Yangtze River","green",117.14139,27.7866700000001,125.14139,35.7866700000001
"France","Lower reaches of rivers","red",NA,NA,NA,NA
"France","Lower reaches of rivers","green",6.77521000000006,45.0978700000001,7.04521000000006,45.36787
"","Not specified","red",NA,NA,NA,NA
"","Not specified","green",-73.76919,4.01062000000007,-73.50919,4.27062000000007
"Portugal","Portugal","red",-31.2688154080396,30.030283523608,-6.18915930748288,42.154311127408
"Portugal","Portugal","green",-17.8208129899999,30.292139046,0.781187010000066,48.894139046
"Russia","Northern Caspian","red",NA,NA,NA,NA
"Russia","Northern Caspian","green",73.3015800000001,61.12467,73.56158,61.38467
"Kazakhstan","Northern Caspian","red",NA,NA,NA,NA
"Kazakhstan","Northern Caspian","green",53.2690454820001,34.257106164,81.1210454820001,62.109106164
"Russia","Eastern part at north end of Caspian","red",NA,NA,NA,NA
"Russia","Eastern part at north end of Caspian","green",-73.01621,41.4717600000001,-72.72621,41.7617600000001
"","Europe: Italy, Tunisia","red",12.203,41.65739,12.703,42.15739
"","Europe: Italy, Tunisia","green",10.0800800000001,36.7214700000001,10.3400800000001,36.9814700000001
"Germany","Weser, Elbe und Ems rivers (Refs. 89634, 89642 )","red",NA,NA,NA,NA
"Germany","Weser, Elbe und Ems rivers (Refs. 89634, 89642 )","green",6.45812099999999,51.509646,6.71012099999999,51.761646
"NA","Black Sea and Sea of Azov","red",NA,NA,NA,NA
"NA","Black Sea and Sea of Azov","green",124.67163,1.28766000000006,124.94163,1.55766000000006
"Egypt","Gulf of Suez","red",32.11052,29.40718,32.61052,29.90718
"Egypt","Gulf of Suez","green",32.3969900000001,29.8517600000001,32.6569900000001,30.1117600000001
"South Africa","Hout , Saldana and Stompneus Bays","red",NA,NA,NA,NA
"South Africa","Hout , Saldana and Stompneus Bays","green",17.7992,-33.15667,18.0892,-32.86667
"Australia","New South Wales","red",140.999264988,-37.505076999,159.109219014,-28.1570199139999
"Australia","New South Wales","green",140.153436642,-39.027025008,153.881436642,-25.299025008
"Mexico","Pacific coast of Baja California","red",NA,NA,NA,NA
"Mexico","Pacific coast of Baja California","green",-117.20272,32.39747,-116.94272,32.6574700000001
"Russia","Primorye, Sea of Japan","red",NA,NA,NA,NA
"Russia","Primorye, Sea of Japan","green",54.8290600000001,57.1332,55.0990600000001,57.4032
"NA","Caspian Sea (Volga)","red",NA,NA,NA,NA
"NA","Caspian Sea (Volga)","green",-97.0344668196957,44.1927635363943,-96.7824668196957,44.4447635363943
"","Caribbean sea","red",-88.9910430908203,7.89865493774414,-59.2689323425293,22.7095069885254
"","Caribbean sea","green",-97.18522,-2.32801999999992,-57.18522,37.6719800000001
"Brazil","Pernambuco, 2008","red",NA,NA,NA,NA
"Brazil","Pernambuco, 2008","green",-36.0863329785929,-8.39041965438408,-35.834332978593,-8.13841965438409
"Brazil","Pernambuco, 2009","red",NA,NA,NA,NA
"Brazil","Pernambuco, 2009","green",-36.0863329447061,-8.39041955580421,-35.8343329447061,-8.13841955580421
"Sri Lanka","Negombo","red",79.6918810590435,6.98701319062563,79.9933966531154,7.40202424832197
"Sri Lanka","Negombo","green",79.67093,7.02934000000002,80.02893,7.38734000000002
"India","Vishinjam","red",NA,NA,NA,NA
"India","Vishinjam","green",76.85591,8.25066000000003,77.12591,8.52066000000003
"Sri Lanka","West coast","red",NA,NA,NA,NA
"Sri Lanka","West coast","green",79.129632418,6.04867840900006,82.267632418,9.18667840900006
"Japan","Nagahama Beach, Okinawa (July-October 1996)","red",NA,NA,NA,NA
"Japan","Nagahama Beach, Okinawa (July-October 1996)","green",127.771833536,26.530758496,128.121833536,26.880758496
"USA","Cape Cod","red",-70.2884,41.72324,-69.7884,42.22324
"USA","Cape Cod","green",-72.03279,39.7001100000001,-68.03279,43.7001100000001
"USA","Lower Chesapeake Bay","red",NA,NA,NA,NA
"USA","Lower Chesapeake Bay","green",-96.04736,17.00255,-56.04736,57.00255
"Russia","Gulf of Anadyr","red",161.877105712891,55.8720283508301,-172.976409912109,66.5166625976562
"Russia","Gulf of Anadyr","green",-179.9,53.0500000000001,-167.05,74.9500000000001
"Alaska","Kodiak I.","red",NA,NA,NA,NA
"Alaska","Kodiak I.","green",-152.55569,57.63417,-152.23369,57.95617
"Russia","Laperuza Strait","red",141.75,45.5,142.25,46
"Russia","Laperuza Strait","green",127,30.7500000000001,157,60.7500000000001
"Russia","North Kurils","red",155.15436,50.25295,155.65436,50.75295
"Russia","North Kurils","green",31.68264,55.44255,31.95264,55.71255
"Russia","Sea of Okhotsk","red",NA,NA,NA,NA
"Russia","Sea of Okhotsk","green",143.07475,59.1972000000001,143.40675,59.5292000000001
"Russia","South Kurils","red",NA,NA,NA,NA
"Russia","South Kurils","green",31.68264,55.44255,31.95264,55.71255
"NA","Eastern Atlantic","red",-83.52217,35.2285,-83.02217,35.7285
"NA","Eastern Atlantic","green",-74.5885699999999,39.2199400000001,-74.32857,39.4799400000001
"NA","North Sea","red",-70.2391357421875,81.5023193359375,-32.664909362793,83.7735061645508
"NA","North Sea","green",-72.552,40.79582,-72.282,41.06582
"Norway","East Central Grounds (English Klondyke, East Bank, Inner and Outer shoal), 1997-1999; also coastal ground off SW Norway","red",NA,NA,NA,NA
"Norway","East Central Grounds (English Klondyke, East Bank, Inner and Outer shoal), 1997-1999; also coastal ground off SW Norway","green",-77.1571999999999,38.75511,-76.8672,39.04511
"","Eastern North Atlantic","red",-15.25,46.75,-14.75,47.25
"","Eastern North Atlantic","green",-74.5885699999999,39.2199400000001,-74.32857,39.4799400000001
"UK","North Sea","red",-180,71.3904190063477,180,90
"UK","North Sea","green",-0.79089999999997,51.7871700000001,-0.53089999999997,52.0471700000001
"Korea (South)","East coast, 1993-94","red",NA,NA,NA,NA
"Korea (South)","East coast, 1993-94","green",-78.7987161750672,35.2770775473293,-78.5467161750671,35.5290775473293
"Korea (South)","Shinsudo, Sacheon, 1988","red",NA,NA,NA,NA
"Korea (South)","Shinsudo, Sacheon, 1988","green",127.3737,36.8857,127.6437,37.1557
"NA","northeastern Atlantic","red",-76.50495,36.03605,-76.00495,36.53605
"NA","northeastern Atlantic","green",-74.5885699999999,39.2199400000001,-74.32857,39.4799400000001
"NA","Mediterranean Sea","red",NA,NA,NA,NA
"NA","Mediterranean Sea","green",5.6843418860808e-14,15.0000000000001,40.0000000000001,55.0000000000001
"NA","Eastern North Atlantic","red",-83.52217,35.2285,-83.02217,35.7285
"NA","Eastern North Atlantic","green",-74.5885699999999,39.2199400000001,-74.32857,39.4799400000001
"NA","Northeastern Atlantic","red",-76.50495,36.03605,-76.00495,36.53605
"NA","Northeastern Atlantic","green",-74.5885699999999,39.2199400000001,-74.32857,39.4799400000001
"Brazil","Ceará","red",-41.409553527832,-7.85805606842041,-37.2409210205078,-2.79583358764648
"Brazil","Ceará","green",-38.78506,-3.95921999999994,-38.30106,-3.47521999999994
"","Northeastern Atlantic","red",-76.83279,39.09076,-76.33279,39.59076
"","Northeastern Atlantic","green",-74.5885699999999,39.2199400000001,-74.32857,39.4799400000001
"Norway","Norway","red",4.5041304210635,57.9595371641073,31.1683913444513,71.1854764998959
"Norway","Norway","green",0.0280000000000573,52.0280000000001,19.9720000000001,71.9720000000001
"NA","Not specified.","red",NA,NA,NA,NA
"NA","Not specified.","green",10.839498984,-28.520976122,23.6034989840001,-15.756976122
"Russia","Primorye","red",132.75,43.75,133.25,44.25
"Russia","Primorye","green",131.74897,42.98022,132.00897,43.24022
"USA","Beaufort, North Carolina","red",-81.016234,32.07689,-80.428302,32.704321
"USA","Beaufort, North Carolina","green",-76.80604,34.5732000000001,-76.51404,34.8652000000001
"USA","Tampa, Florida","red",-82.76007,27.62307,-82.26007,28.12307
"USA","Tampa, Florida","green",-82.6462699999999,27.7595300000001,-82.2722699999999,28.1335300000001
"Mexico","Laguna de Tamiahua, northern Mexico","red",NA,NA,NA,NA
"Mexico","Laguna de Tamiahua, northern Mexico","green",-99.7974855,19.1460195,-99.5454855,19.3980195
"Mexico","Laguna de Términos","red",-91.74595,18.37112,-91.24595,18.87112
"Mexico","Laguna de Términos","green",-91.8,18.3666700000001,-91.3,18.8666700000001
"USA","Mid-Chesapeake Bay","red",NA,NA,NA,NA
"USA","Mid-Chesapeake Bay","green",-96.04736,17.00255,-56.04736,57.00255
"USA","Near Beaufort, North Carolina","red",-80.93997,32.13736,-80.43997,32.63736
"USA","Near Beaufort, North Carolina","green",-76.80604,34.5732000000001,-76.51404,34.8652000000001
"USA","Off North Carolina","red",-83.16486,35.37344,-82.66486,35.87344
"USA","Off North Carolina","green",-82.7360538321885,35.2082446912509,-82.4840538321885,35.4602446912509
"Brazil","Lagoa dos Patos, Rio Grande","red",-51.5783,-31.36193,-51.0783,-30.86193
"Brazil","Lagoa dos Patos, Rio Grande","green",-51.4999999999999,-31.35,-50.9999999999999,-30.85
"Argentina","Rosario to Corrientes, La Plata river system","red",NA,NA,NA,NA
"Argentina","Rosario to Corrientes, La Plata river system","green",-58.0763980723832,-35.0359086929482,-57.8243980723832,-34.7839086929482
"NA","California Current region","red",NA,NA,NA,NA
"NA","California Current region","green",-117.29678,32.5644300000001,-117.03678,32.8244300000001
"Costa Rica","Gulf of Nicoya","red",-84.9357,9.50353,-84.4357,10.00353
"Costa Rica","Gulf of Nicoya","green",-85.5749499999999,10.0188000000001,-85.3249499999999,10.2688000000001
"USA","New York and southern New England","red",NA,NA,NA,NA
"USA","New York and southern New England","green",-73.9561581309284,40.7559643537552,-73.7041581309284,41.0079643537552
"Venezuela","Orinoco mouth","red",-60.8725,8.35306,-60.3725,8.85306
"Venezuela","Orinoco mouth","green",-64.1632599999999,10.7789900000001,-63.8932599999999,11.0489900000001
