SpawningID,CountryName,Family,Genus,Species,CommonName,SpawningType,AggregationType,DirectSpawningEvidence,IndirectSpawningEvidence,CurrentStatus,LunarPhase,SpawningMonths,HabitatType,Management,Gear,Source
254,Australia,Sparidae,Pagrus,auratus,Squirefish,Unknown,Transient,"Hydrated eggs
Postovulatory follicles","High seasonal landings",Increasing,"New moon
Full moon
","April May June July August September October ",Other,"Time/area closure","Hook and Line
Bottom Trawl
Beach Seine","Jackson G. & P. Stephenson, 2002, Progress report on Status of inner Shark Bay pink snapper (Pagrus auratus) prepared for Ministerial Working Group. Western Australian Fisheries Assessment Document., W.A. Marine Fisheries Laboratories, Western Australia."
269,Australia,Sparidae,Pagrus,auratus,Squirefish,Unknown,Resident,"Postovulatory follicles
Hydrated eggs","High seasonal landings",Increasing,"New moon
Full moon
","April May June July August ","Other; Sand; Mud","Size limits 
Landing quota
Time/area closure","Hook and Line","Jackson G., 2003, pers. comm.; Jackson G. & P. Stephenson, 2002, Progress report on Status of inner Shark Bay pink snapper (Pagrus auratus) prepared for Ministerial Working Group. Western Australian Fisheries Assessment Document., W.A. Marine Fisheries Laboratories, Western Australia."
320,Australia,Sparidae,Pagrus,auratus,Squirefish,Unknown,Resident,"Postovulatory follicles
Hydrated eggs","High seasonal landings",Decreasing,"New moon
Full moon
","May June July August September ","Mud; Other","Time/area closure
Size limits ","Hook and Line","Jackson G., 2003, pers. comm.; Jackson G. & P. Stephenson, 2002, Progress report on Status of inner Shark Bay pink snapper (Pagrus auratus) prepared for Ministerial Working Group. Western Australian Fisheries Assessment Document., W.A. Marine Fisheries Laboratories, Western Australia."
345,Australia,Serranidae,Plectropomus,leopardus,"Leopard coral-trout",Unknown,Transient,"Spawning observation
Hydrated eggs
Postovulatory follicles",Courtship,Unknown,"First quarter
","October November ","Outer reef slope","Marine Protected Area
Time/area closure
Landing quota
Limited entry
Size limits 
Limited gear types",Unknown,"Zeller D.C., 1998, Spawning aggregations: patterns of movement of the coral trout Plectropomus leopardus (Serranidae) as determined by ultrasonic telemetry., Marine Ecology Progress Series 162: 253-263; Dirk Zeller, 2003, pers. comm.; Zeller D.C., 1998, Spawning aggregations: patterns of movement of the coral trout Plectropomus leopardus (Serranidae) as determined by ultrasonic telemetry, Marine Ecology Progress Series 162 253-263"
173,Australia,Serranidae,Plectropomus,leopardus,"Leopard coral-trout","Pair Spawning",Transient,"Hydrated eggs
Postovulatory follicles
Spawning observation",Courtship,Unknown,"First quarter
","October November ","Outer reef slope; High coral cover","Landing quota
Limited gear types
Marine Protected Area
Limited entry",Unknown,"Zeller D.C., 1998, Spawning aggregations: patterns of movement of the coral trout Plectropomus leopardus (Serranidae) as determined by ultrasonic telemetry., Marine Ecology Progress Series 162: 253-263; Dirk Zeller, 2003, pers. comm.; Zeller D.C., 1998, Spawning aggregations: patterns of movement of the coral trout Plectropomus leopardus (Serranidae) as determined by ultrasonic telemetry, Marine Ecology Progress Series 162 253-263"
29,Australia,Scaridae,Bolbometopon,muricatum,"Green humphead parrotfish","Pair Spawning",Unknown,"Spawning observation",Courtship,Unknown,"Full moon
",,"Sand; Low relief living reef; Reef channel (pass); Sand channels; Rubble","Landing quota
Marine Protected Area
Time/area closure
Limited gear types
Size limits 
Unknown",Spear,"Gladstone, W., 1986, Spawning behavior of the bumphead parrotfish Bolbometapon muricatum at Yonge Reef, Great Barrier Reef, Japanese Journal of Ichthyology, 33(3): 326-328."
343,Australia,Haemulidae,"Pomadasys ",kaakan,Grunter,"Group Spawning",Transient,,"High seasonal landings
Multiple gravid females",Unknown,,"August September October November ","Shallow coastal","Marine Protected Area
Limited gear types
Size limits ","Hook and Line","Martin Russell, 2017, pers. comm."
344,Australia,Scombridae,Scomberomorus,commerson,"Spanish mackerel","Group Spawning",Transient,"Hydrated eggs
Postovulatory follicles","High seasonal landings
Multiple gravid females",Decreasing,"New moon
First quarter
Full moon
Third quarter
","September October ","Sand; Rubble; Lagoon","Size limits 
Limited entry
Limited gear types
Marine Protected Area",Trolling,"Martin Russell, 2017, pers. comm."
352,Australia,Sparidae,Pagrus,auratus,Squirefish,Unknown,Resident,"Postovulatory follicles","High seasonal landings",Same,"New moon
Full moon
","April May June July August ","Mud; Shallow coastal","Landing quota","Hook and Line","Jackson G. & P. Stephenson, 2002, Progress report on Status of inner Shark Bay pink snapper (Pagrus auratus) prepared for Ministerial Working Group. Western Australian Fisheries Assessment Document., W.A. Marine Fisheries Laboratories, Western Australia."
595,Australia,Serranidae,Plectropomus,maculatus,"Spotted coralgrouper",Unknown,Resident,"Postovulatory follicles
Hydrated eggs","GSI
Courtship
Multiple gravid females
Colour changes associated with spawning",Unknown,,"September October ","Fore reef; Low relief living reef","Marine Protected Area",,"David Williamson, 2004, pers. comm."
674,Australia,Berycidae,Centroberyx,gerrardi,"Bight redfish ",Unknown,Unknown,,GSI,Unknown,,"February March April ","Drop-off (shelf edge)",,"Bottom Trawl
Longline","Mackie M.C. , 2009, Management and Monitoring of Fish Spawning Aggregations within the West Coast Bioregion of Western Australia: Final FRDC Report - Project Number 2004/051, Fisheries Research Division, Western Australian Fisheries and Marine Research Laboratories"
676,Australia,Serranidae,Epinephelus,fuscoguttatus,"Brown-marbled grouper",Unknown,Transient,,"GSI
High seasonal landings",Unknown,"Third quarter
","January November December ",Other,"Limited gear types
Size limits 
Time/area closure
Spawning season sales ban
Marine Protected Area
Landing quota
Limited entry","Hook and Line","Pears, R.J., Choat, J.H., Mapstone, B.D., and Begg, G.A., 2007, Reproductive biology of a large, aggregation-spawning serranid, Epinephelus fuscoguttatus (Forsskal): management implications, Journal of Fish Biology, 71 (3). pp. 795-817. "
678,Australia,Serranidae,Plectropomus,leopardus,"Leopard coral-trout",Unknown,Unknown,,Courtship,Unknown,,"October November December ","Rubble; Outer reef slope; High coral cover",,,"Kingsford M.J., 2009, Contrasting patterns of reef utilization and recruitment of coral trout (Plectropomus leopardus) and snapper (Lutjanus) carponotatus) at One Tree Island, southern Great Barrier Reef, Coral Reefs, 28 (1). pp. 251-264"
247,Australia,Sparidae,Pagrus,auratus,Squirefish,Unknown,Unknown,"In water egg collection","Mature gonads",Unknown,"New moon
Full moon
","January September October November December ","Shallow coastal","Time/area closure",Longline,"Wakefield CB, 2010, Annual, lunar and diel reproductive periodicity of a spawning aggregation of snapper Pagrus auratus (Sparidae) in a marine embayment on the lower west coast of Australia, Journal of Fish Biology 77(6):1359-1378"
555,Australia,Scombridae,Scomberomorus,semifasciatus,"Grey mackerel",Unknown,Transient,Unspecified,"High seasonal landings
Multiple gravid females",Decreasing,,"May June July August September ","Shallow coastal","Limited entry","Gill net
Trolling","David Cook, 2010, pers. comm."
118,Australia,Sciaenidae,Protonibea,diacanthus,"Blackspotted croaker",Unknown,Resident,"Hydrated eggs
Postovulatory follicles","GSI
Mature gonads",Decreasing,,"January August September October November December ",Estuary/river/harbour,"Landing quota
Limited entry
Limited gear types
Time/area closure","Hook and Line
Gill net
Trap
Spear
Drop line","Jayson M. Semmens, C. D. Buxton, E. Forbes, M. J. Phelan, 2010, Spatial and temporal use of spawning aggregation sites by the tropical sciaenid  Protonibea diacanthus, Mar Ecol Prog Ser 403: 193–203, 2010; Phelan, M., 2008, Assessment of the implications of target fishing on black jewfish (Protonibea diacanthus) aggregations in the Northern Territory, Fishery Report No. 91 Northern Territory Government, Department of Industry, Fisheries and Mines, Darwin"
677,Australia,Glaucosomatidae,Glaucosoma,hebraicum,Dhufish,"Pair Spawning",Transient,"Postovulatory follicles
Hydrated eggs","High seasonal landings
Multiple gravid females",Unknown,,"January February March April November December ",Other,,Longline,"Mackie M.C. , 2009, Management and Monitoring of Fish Spawning Aggregations within the West Coast Bioregion of Western Australia: Final FRDC Report - Project Number 2004/051, Fisheries Research Division, Western Australian Fisheries and Marine Research Laboratories"
845,Australia,Myctophidae,Diaphus,danae,lanternfish,Unknown,Unknown,"Postovulatory follicles
Hydrated eggs","GSI
Significant increase in numbers observed (eg > 3x)",Unknown,,"November December ","Sea mount; Pelagic",,,"Flynn AJ, Paxton JR, 2012, Spawning aggregation of the lanternfish Diaphus danae (family Myctophidae) in the north-western Coral Sea and associations with tuna aggregations, Marine and Freshwater Research 63:1255-1271"
847,Australia,Sparidae,Pagrus,auratus,Squirefish,"Group Spawning",Unknown,"Hydrated eggs","High seasonal landings
Multiple gravid females",Unknown,"New moon
","October November December ","Reef promontory (point); Patch reef",,,"Wakefield, C.B. and Johnston, D., 2009, A preliminary investigation of the potential impacts of the proposed Kwinana Quay development on the commercially and recreationally important fish and crabs species in Cockburn Sound, Fisheries Research Report No. 186. Department of Fisheries, Western Australia."
846,Australia,Sciaenidae,"Argyrosomus ",japonicus,Mulloway,"Pair Spawning",Unknown,,"Courtship
High seasonal landings",Unknown,,"March ","Artificial (eg. Wreck, artificial reef, man made structure, etc); Sand channels","Limited entry
Limited gear types
Size limits ","Hook and Line
Gill net
Beach Seine
Longline","Miles J. Parsons, Robert D. McCauley, Michael C. Mackie, Paulus Siwabessy, and Alec J. Duncan, 2009, Localization of individual mulloway (Argyrosomus japonicus) within a spawning aggregation and their behaviour throughout a diel spawning period, ICES Journal of Marine Science, 66: 000–000; Parsons, M. J. G., McCauley, R. D. and Mackie, M. C., 2006, Spawning sounds of the mulloway (Argyrosomus japonicas), Proceedings of ACOUSTICS 2006, 20-22 November 2006, Christchurch, New Zealand; Farmer, B. M., 2008, Comparisons of the biological and genetic characteristics of the mulloway Argyrosomus japonicas (Sciaenidae) in different regions of Western Australia, PhD thesis, Murdoch University of Western Australia 216pp.; Farmer, B.M., French, D.J.W., Potter, I.C., Hesp, S.A. & Hall, N.G., 2005, Determination of biological parameters for managing the fisheries for Mulloway and Silver Trevally in Western Australia, Fisheries Research and Development Corporation Report, FRDC project 2002/004. Murdoch University, Western Australia 149pp."
679,Australia,Serranidae,Plectropomus,leopardus,"Leopard coral-trout","Pair Spawning",Transient,"Hydrated eggs
Spawning observation
Postovulatory follicles","Courtship
Multiple gravid females
Colour changes associated with spawning",Increasing,"New moon
","September October November December ","Sand channels; Back reef; Rubble; High coral cover; Low relief living reef; Sand; Patch reef","Landing quota
Limited entry
Marine Protected Area
Size limits 
Spawning season sales ban","Hook and Line
Spear","Samoilys MA , 2012, Case study 12.9 Leopard Coralgrouper - Plectropomus leopardus.; Russell, M, 2010, Underwater Visual Survey Report: Scott Reef and Elford Reef Spawning Aggregation Sites, Great Barrier Reef Marine Park. , SCRFA; Samoilys, MA, 2000, Reproductive dynamics of an exploited serranid on the Great Barrier Reef. ; Russell, M. , 2005, Protecting common coral trout (Plectropomus leopardus) spawning aggregations in the Great Barrier Reef Marine Park, Australia., Proceedings of the Fifty-Eighth Annual Gulf and Caribbean Fisheries Institute, San Andres, Colombia, November 2005.; Samoilys M.A. & L.C.Squire, 1994, Preliminary observations on the spawning behavior of coral trout, Plectropomus leopardus (Pisces: Serranidae) on the Great Barrier Reef., Bulletin of Marine Science 54(1): 333-342; Russell, M. , 2006, Leopard coral grouper (Plectropomus leopardus) management in the Great Barrier Reef Marine Park, Australia., SPC Live Reef Fish Information Bulletin #16 December 2006. Pp. 10-12.; Samoilys M.A., 1997,  Periodicity of spawning aggregations of coral trout, Plectropomus leopardus (Pisces: Serranidae) on the northern Great Barrier Reef.; Martin Russell, 2017, pers. comm.; Russell, M, 2011, Underwater Visual Survey Report: Scott Reef and Elford Reef Spawning Aggregation Sites, Great Barrier Reef Marine Park. , SCRFA"
560,Australia,Serranidae,Plectropomus,leopardus,"Leopard coral-trout","Pair Spawning",Transient,"Spawning observation
Hydrated eggs
Postovulatory follicles","Courtship
High seasonal landings
Multiple gravid females
Colour changes associated with spawning",Decreasing,"New moon
","September October November December ","Reef channel (pass); Sand channels; Sand; High coral cover; Rubble","Size limits 
Limited gear types
Marine Protected Area
Time/area closure
Landing quota
Limited entry","Hook and Line
Spear","Samoilys MA , 2012, Case study 12.9 Leopard Coralgrouper - Plectropomus leopardus.; Russell, M, 2010, Underwater Visual Survey Report: Scott Reef and Elford Reef Spawning Aggregation Sites, Great Barrier Reef Marine Park. , SCRFA; Samoilys, MA, 2000, Reproductive dynamics of an exploited serranid on the Great Barrier Reef. ; Martin Russell, 2010, pers.comm., Results of 2009 monitoring surveys of common coral trout (Plectropomus leopardus) spawning aggregations on Scott Reef and Elford Reef, Great Barrier Reef Marine Park (GBRMP).; Lyle Squire, 2000, pers. comm.; , 0, ; Russell, M. , 2005, Protecting common coral trout (Plectropomus leopardus) spawning aggregations in the Great Barrier Reef Marine Park, Australia., Proceedings of the Fifty-Eighth Annual Gulf and Caribbean Fisheries Institute, San Andres, Colombia, November 2005.; Samoilys M.A. & L.C.Squire, 1994, Preliminary observations on the spawning behavior of coral trout, Plectropomus leopardus (Pisces: Serranidae) on the Great Barrier Reef., Bulletin of Marine Science 54(1): 333-342; Russell, M. , 2006, Leopard coral grouper (Plectropomus leopardus) management in the Great Barrier Reef Marine Park, Australia., SPC Live Reef Fish Information Bulletin #16 December 2006. Pp. 10-12.; Samoilys M.A., 1997,  Periodicity of spawning aggregations of coral trout, Plectropomus leopardus (Pisces: Serranidae) on the northern Great Barrier Reef.; Martin Russell, 2017, pers. comm.; Russell, M, 2011, Underwater Visual Survey Report: Scott Reef and Elford Reef Spawning Aggregation Sites, Great Barrier Reef Marine Park. , SCRFA"
101,Australia,Istiophoridae,Istiompax,indica,"Black Marlin","Pair Spawning",Transient,"Hydrated eggs
Postovulatory follicles","GSI
Courtship
High seasonal landings
Multiple gravid females
Mature gonads",Unknown,,"October November ","Pelagic; Outer reef slope; Fore reef; Deep water reef; Atoll","Marine Protected Area","Hook and Line","Domeier ML, Speare P, 2012, Dispersal of Adult Black Marlin (Istiompax indica) from a Great Barrier Reef Spawning Aggregation., PLoS ONE 7(2): e31629. doi:10.1371/journal.pone.0031629; Martin Russell, 2017, pers. comm."
958,Australia,Sparidae,Pagrus,auratus,Squirefish,Unknown,Unknown,"In water egg collection
Hydrated eggs","GSI
Mature gonads",Decreasing,,"January October November December ","Rocky reef; Seagrass; Sand; Mud","Limited gear types
Size limits 
Landing quota
Limited entry
Time/area closure","Hook and Line
Gill net
Trap
Spear
Longline
Purse seine","Coutin, Patrick C., Cashmore, Shellie, and Sivakumuran, K.P., 2003, Assessment of the snapper fishery in Victoria, Fisheries Research and Development Corporation"
301,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,Unspecified,"High seasonal landings",Unknown,"Full moon
",,Other,"Spawning season sales ban",Unknown,"Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
153,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,,"High seasonal landings",Unknown,"Full moon
",,Other,"Spawning season sales ban",Unknown,"Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
185,Bahamas,Acanthuridae,Acanthurus,coeruleus,"Blue tang surgeonfish",Unknown,Resident,"Spawning observation",Courtship,Unknown,"New moon
First quarter
Full moon
Third quarter
","May June July August September October ","Outer reef slope",None,Unknown,"Colin, P. L. , 1996, Longevity of some coral reef fish spawning aggregations., Copeia 1996(1): 189-192."
158,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,Unspecified,"High seasonal landings",Unknown,"Full moon
",,Other,"Spawning season sales ban",Unknown,"Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
229,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,Unspecified,"High seasonal landings",Unknown,"Full moon
",,Other,"Spawning season sales ban",Unknown,"Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
237,Bahamas,Labridae,Thalassoma,bifasciatum,Bluehead,Unknown,Resident,,"Courtship
Colour changes associated with spawning",Unknown,,"January February March April May June July August September October November December ","Low relief living reef",,,"Domeier M.L. & P.L. Colin., 1997, Tropical reef fish aggregations: defined and reviewed., Bulletin of Marine Science. 60(3):698-726"
244,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,Unspecified,"High seasonal landings",Unknown,"Full moon
",,Other,"Spawning season sales ban",Unknown,"Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
55,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,,"High seasonal landings",Unknown,"Full moon
",,Other,"Spawning season sales ban",Unknown,"Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
203,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,Unspecified,"High seasonal landings",Unknown,"Full moon
",,Other,"Spawning season sales ban",Unknown,"Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
115,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,,"High seasonal landings",Unknown,"Full moon
",,Other,"Spawning season sales ban",Unknown,"Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
135,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,,"High seasonal landings",Unknown,"Full moon
",,Other,"Spawning season sales ban",Unknown,"Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
67,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,,"High seasonal landings",Unknown,"Full moon
",,Other,"Spawning season sales ban",Unknown,"Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
110,Bahamas,Lutjanidae,Lutjanus,analis,"Mutton snapper",Unknown,Unknown,"Spawning observation",Courtship,Unknown,,"April ",Other,"Spawning season sales ban",Unknown,"David Eggleston, 2002, pers. comm."
278,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,,"High seasonal landings",Unknown,"Third quarter
","January ",Other,"Spawning season sales ban",Unknown,"Smith C. L., 1972, A spawning aggregation of Nassau grouper, Epinephelus striatus (Bloch)., Trans. Am. Fish. Soc. 2: 257-261; Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
1,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,,"High seasonal landings",Unknown,,,Other,"Spawning season sales ban",Unknown,"Carleton Ray G., McCormick-Ray M.G., Layman C.A. and Silliman B.R., 2000, Investigations of Nassau grouper breeding aggreggations at High Cay, Andros: Implications for a conservation strategy., Final report to the Dept. of Fisheries, Nassau, Bahamas"
100,Bahamas,Serranidae,Mycteroperca,tigris,"Tiger grouper",Unknown,Transient,,Courtship,Unknown,"Full moon
","February ",Other,Unknown,Unknown,"Yvonne Sadovy, 0, pers. comm."
217,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,Unspecified,"High seasonal landings",Unknown,"Full moon
",,Other,"Spawning season sales ban",Unknown,"Sadovy Y. & A.M. Eklund, 1999, Synopsis of biological data on the Nassau grouper, Epinephelus striatus (Bloch, 1792), and the jewfish E. itajara (Lichtenstein, 1822)., US Dep. Commerce., NOAA Tech. Rep. NMFS 146, and FAO Fisheries Synopsis 157, 65 p"
13,Bahamas,Serranidae,Epinephelus,striatus,"Nassau Grouper",Unknown,Unknown,"Spawning observation",Courtship,Decreasing,"Full moon
","January December ",Other,"Spawning season sales ban","Hook and Line","David Eggleston, 2002, pers. comm.; Colin P.L., 1992, Reproduction of the Nassau Grouper, Epinephelus striatus (Pisces:Serranidae) and its relationship to environmental conditions., Environmental  Biology of Fishes 43:357-377."
263,Bahamas,Serranidae,Mycteroperca,venenosa,"Yellowfin Grouper",Unknown,Transient,Unspecified,"Courtship
Multiple gravid females",Decreasing,"Full moon
","February ",Other,Unknown,"Hook and Line","Colin P.L., 1992, Reproduction of the Nassau Grouper, Epinephelus striatus (Pisces:Serranidae) and its relationship to environmental conditions., Environmental  Biology of Fishes 43:357-377."
